dataset,noShift,shifted
cnn,0.8283686478953746,0.8253601731953479
color,0.6515678032980127,0.6523728880936565
deblur,0.6096504304889526,0.6094067863441246
frameinterp,0.6329449212604786,0.6273305144050491
superres,0.7116893943297617,0.7106024377767268
traditional,0.7548728854474375,0.7525000041729566
